,price,area,flat_type,locality,distance_prague_km,district,city
5738,16000,34,2+kk,Praha 5 - Stodůlky,8.541161957863645,Praha 5 - Stodůlky,Praha 5
5739,15000,33,2+kk,Praha 10 - Hostivař,9.32743471012728,Praha 10 - Hostivař,Praha 10
5740,23000,43,2+1,Praha 1 - Malá Strana,1.5943238732323841,Praha 1 - Malá Strana,Praha 1
5741,29000,77,3+1,Praha 7 - Bubeneč,1.9281279979717045,Praha 7 - Bubeneč,Praha 7
5743,9000,14,1+kk,Praha 8 - Libeň,4.443619333106052,Praha 8 - Libeň,Praha 8
5744,53000,106,4+kk,Praha 1 - Malá Strana,1.8069163445854652,Praha 1 - Malá Strana,Praha 1
5745,35000,62,3+1,Praha 2 - Nové Město,1.9446961734265187,Praha 2 - Nové Město,Praha 2
5746,5000,8,other,Praha 3 - Žižkov,4.836804846034144,Praha 3 - Žižkov,Praha 3
5747,6000,8,other,Praha 8 - Libeň,4.443619333106052,Praha 8 - Libeň,Praha 8
5748,6000,8,other,Praha 6,4.566730397010409,Praha 6,Praha 6
5750,58000,178,5+1,Praha 6 - Střešovice,2.8779281556959164,Praha 6 - Střešovice,Praha 6
5751,11000,26,2+kk,Praha 6 - Střešovice,3.7790573479644043,Praha 6 - Střešovice,Praha 6
5753,20000,34,2+kk,Praha 10 - Strašnice,6.7527009308934165,Praha 10 - Strašnice,Praha 10
5754,14000,44,3+kk,Praha 3 - Žižkov,1.8876448849823957,Praha 3 - Žižkov,Praha 3
5755,17000,44,2+kk,Praha 4 - Braník,6.754997998735888,Praha 4 - Braník,Praha 4
5756,10000,16,1+kk,Praha 3 - Žižkov,2.512724177970601,Praha 3 - Žižkov,Praha 3
5757,16000,44,3+1,Praha 4 - Chodov,7.603149841847984,Praha 4 - Chodov,Praha 4
5758,35000,80,4+kk,Praha 1 - Nové Město,0.7531819322553148,Praha 1 - Nové Město,Praha 1
5759,11000,28,1+kk,Praha 3 - Žižkov,2.1506446742951506,Praha 3 - Žižkov,Praha 3
5760,18000,39,3+kk,Praha 5 - Smíchov,1.3602310861794442,Praha 5 - Smíchov,Praha 5
5761,16000,38,3+kk,Praha 10 - Strašnice,5.636861039440664,Praha 10 - Strašnice,Praha 10
5762,13000,20,1+1,Praha 5 - Smíchov,2.516334828706645,Praha 5 - Smíchov,Praha 5
5764,17000,37,2+kk,Praha 1 - Nové Město,0.7772969391040329,Praha 1 - Nové Město,Praha 1
5765,19000,29,2+kk,Praha 3 - Žižkov,4.3784842691105235,Praha 3 - Žižkov,Praha 3
5766,11000,22,1+kk,Praha 5 - Radlice,4.398730291274946,Praha 5 - Radlice,Praha 5
5767,20000,31,2+kk,Praha 5 - Smíchov,1.6183391972663044,Praha 5 - Smíchov,Praha 5
5768,10000,21,1+1,Praha 4 - Podolí,4.2689798482298436,Praha 4 - Podolí,Praha 4
5769,13000,20,1+kk,Praha 10 - Strašnice,4.465753472556102,Praha 10 - Strašnice,Praha 10
5770,12000,19,1+kk,Praha 9 - Libeň,5.201166826882995,Praha 9 - Libeň,Praha 9
5771,15000,32,2+kk,Praha 10 - Malešice,5.601186368369714,Praha 10 - Malešice,Praha 10
5772,34000,48,3+kk,Praha 5 - Smíchov,1.6183391972663044,Praha 5 - Smíchov,Praha 5
5773,28000,49,3+kk,Praha 5 - Košíře,4.97448679854579,Praha 5 - Košíře,Praha 5
5774,23000,44,3+1,Praha 3 - Žižkov,2.2079324210425155,Praha 3 - Žižkov,Praha 3
5775,16000,43,3+kk,Praha 8 - Libeň,4.349300398404729,Praha 8 - Libeň,Praha 8
5776,12000,31,2+kk,Praha 5 - Smíchov,1.9193310252239189,Praha 5 - Smíchov,Praha 5
5777,14000,39,2+kk,Praha 8 - Troja,4.122941304027338,Praha 8 - Troja,Praha 8
5778,19000,39,3+kk,Praha 4 - Braník,6.506240356940253,Praha 4 - Braník,Praha 4
5779,19000,42,3+kk,Praha 4 - Braník,6.506240356940253,Praha 4 - Braník,Praha 4
5780,10000,24,2+kk,Praha 6 - Břevnov,3.430861376799258,Praha 6 - Břevnov,Praha 6
5781,13000,39,3+1,Praha 6 - Ruzyně,8.01726432363399,Praha 6 - Ruzyně,Praha 6
